indice_tiempo;medio_de_transporte;pais_destino;viajes_de_turistas_residentes
1/8/2019;Fluvial/Marítima;Brasil;2946
1/8/2019;Fluvial/Marítima;Chile;30
1/8/2019;Fluvial/Marítima;Paraguay;8618
1/8/2019;Fluvial/Marítima;Uruguay;28809
1/8/2019;Fluvial/Marítima;EE.UU. y Canadá;193
1/8/2019;Fluvial/Marítima;Resto de América;1149
1/8/2019;Fluvial/Marítima;Europa;321
1/8/2019;Fluvial/Marítima;Resto del mundo;49
1/8/2019;Terrestre;Bolivia;35969
1/8/2019;Terrestre;Brasil;62490
1/8/2019;Terrestre;Chile;44088
1/8/2019;Terrestre;Paraguay;80989
1/8/2019;Terrestre;Uruguay;31261
1/8/2019;Terrestre;EE.UU. y Canadá;172
1/8/2019;Terrestre;Resto de América;289
1/8/2019;Terrestre;Europa;31
1/8/2019;Terrestre;Resto del mundo;32
1/9/2019;Aérea;Bolivia;2770
1/9/2019;Aérea;Brasil;56095
1/9/2019;Aérea;Chile;19269
1/9/2019;Aérea;Paraguay;4873
1/9/2019;Aérea;Uruguay;4106
1/9/2019;Aérea;EE.UU. y Canadá;69588
1/9/2019;Aérea;Resto de América;61185
1/9/2019;Aérea;Europa;87375
1/9/2019;Aérea;Resto del mundo;14516
1/9/2019;Fluvial/Marítima;Bolivia;6077
1/9/2019;Fluvial/Marítima;Brasil;3281
1/9/2019;Fluvial/Marítima;Chile;16
1/9/2019;Fluvial/Marítima;Paraguay;8209
1/9/2019;Fluvial/Marítima;Uruguay;29433
1/9/2019;Fluvial/Marítima;EE.UU. y Canadá;25
1/9/2019;Fluvial/Marítima;Resto de América;154
1/9/2019;Fluvial/Marítima;Europa;38
1/9/2019;Fluvial/Marítima;Resto del mundo;6
1/9/2019;Terrestre;Bolivia;28480
1/9/2019;Terrestre;Brasil;57874
1/9/2019;Terrestre;Chile;54339
1/9/2019;Terrestre;Paraguay;62013
1/9/2019;Terrestre;Uruguay;26770
1/9/2019;Terrestre;EE.UU. y Canadá;205
1/9/2019;Terrestre;Resto de América;646
1/9/2019;Terrestre;Europa;106
1/9/2019;Terrestre;Resto del mundo;59
1/10/2019;Aérea;Bolivia;1846
1/10/2019;Aérea;Brasil;56587
1/10/2019;Aérea;Chile;17055
1/10/2019;Aérea;Paraguay;4952
1/10/2019;Aérea;Uruguay;5152
1/10/2019;Aérea;EE.UU. y Canadá;69688
1/10/2019;Aérea;Resto de América;60558
1/10/2019;Aérea;Europa;81043
1/10/2019;Aérea;Resto del mundo;21561
1/10/2019;Fluvial/Marítima;Bolivia;7510
1/10/2019;Fluvial/Marítima;Brasil;3377
1/10/2019;Fluvial/Marítima;Chile;45
1/10/2019;Fluvial/Marítima;Paraguay;8942
1/10/2019;Fluvial/Marítima;Uruguay;32622
1/10/2019;Fluvial/Marítima;EE.UU. y Canadá;0
1/10/2019;Fluvial/Marítima;Resto de América;0
1/10/2019;Fluvial/Marítima;Europa;0
1/10/2019;Fluvial/Marítima;Resto del mundo;0
1/10/2019;Terrestre;Bolivia;24071
1/10/2019;Terrestre;Brasil;57270
1/10/2019;Terrestre;Chile;58456
1/10/2019;Terrestre;Paraguay;66725
1/10/2019;Terrestre;Uruguay;31937
1/10/2019;Terrestre;EE.UU. y Canadá;45
1/10/2019;Terrestre;Resto de América;337
1/10/2019;Terrestre;Europa;42
1/10/2019;Terrestre;Resto del mundo;29
1/11/2019;Aérea;Bolivia;1668
1/11/2019;Aérea;Brasil;54276
1/11/2019;Aérea;Chile;13550
1/11/2019;Aérea;Paraguay;5238
1/11/2019;Aérea;Uruguay;5715
1/11/2019;Aérea;EE.UU. y Canadá;59676
1/11/2019;Aérea;Resto de América;60703
1/11/2019;Aérea;Europa;49410
1/11/2019;Aérea;Resto del mundo;17810
1/11/2019;Fluvial/Marítima;Bolivia;5279
1/11/2019;Fluvial/Marítima;Brasil;3462
1/11/2019;Fluvial/Marítima;Chile;111
1/11/2019;Fluvial/Marítima;Paraguay;8051
1/11/2019;Fluvial/Marítima;Uruguay;42381
1/11/2019;Fluvial/Marítima;EE.UU. y Canadá;123
1/11/2019;Fluvial/Marítima;Resto de América;737
1/11/2019;Fluvial/Marítima;Europa;187
1/11/2019;Fluvial/Marítima;Resto del mundo;0
1/11/2019;Terrestre;Bolivia;16857
1/11/2019;Terrestre;Brasil;54132
1/11/2019;Terrestre;Chile;36849
1/11/2019;Terrestre;Paraguay;98636
1/11/2019;Terrestre;Uruguay;41799
1/11/2019;Terrestre;EE.UU. y Canadá;47
1/11/2019;Terrestre;Resto de América;327
1/11/2019;Terrestre;Europa;47
1/11/2019;Terrestre;Resto del mundo;34
1/12/2019;Aérea;Bolivia;2026
1/12/2019;Aérea;Brasil;55468
1/12/2019;Aérea;Chile;15989
1/12/2019;Aérea;Paraguay;4664
1/12/2019;Aérea;Uruguay;7803
1/12/2019;Aérea;EE.UU. y Canadá;51743
1/12/2019;Aérea;Resto de América;57626
1/12/2019;Aérea;Europa;36992
1/12/2019;Aérea;Resto del mundo;10827
1/12/2019;Fluvial/Marítima;Bolivia;6376
1/12/2019;Fluvial/Marítima;Brasil;11952
1/12/2019;Fluvial/Marítima;Chile;323
1/12/2019;Fluvial/Marítima;Paraguay;10906
1/12/2019;Fluvial/Marítima;Uruguay;59646
1/12/2019;Fluvial/Marítima;EE.UU. y Canadá;18
1/12/2019;Fluvial/Marítima;Resto de América;108
1/12/2019;Fluvial/Marítima;Europa;28
1/12/2019;Fluvial/Marítima;Resto del mundo;0
1/12/2019;Terrestre;Bolivia;23350
1/12/2019;Terrestre;Brasil;67690
1/12/2019;Terrestre;Chile;57109
1/12/2019;Terrestre;Paraguay;73580
1/12/2019;Terrestre;Uruguay;51072
1/12/2019;Terrestre;EE.UU. y Canadá;148
1/12/2019;Terrestre;Resto de América;897
1/12/2019;Terrestre;Europa;132
1/12/2019;Terrestre;Resto del mundo;45
1/1/2020;Aérea;Bolivia;2408
1/1/2020;Aérea;Brasil;91684
1/1/2020;Aérea;Chile;16198
1/1/2020;Aérea;Paraguay;3707
1/1/2020;Aérea;Uruguay;15574
1/1/2020;Aérea;EE.UU. y Canadá;47202
1/1/2020;Aérea;Resto de América;71469
1/1/2020;Aérea;Europa;42781
1/1/2020;Aérea;Resto del mundo;14013
1/1/2020;Fluvial/Marítima;Bolivia;6294
1/1/2020;Fluvial/Marítima;Brasil;11985
1/1/2020;Fluvial/Marítima;Chile;1529
1/1/2020;Fluvial/Marítima;Paraguay;16257
1/1/2020;Fluvial/Marítima;Uruguay;109586
1/1/2020;Fluvial/Marítima;EE.UU. y Canadá;161
1/1/2020;Fluvial/Marítima;Resto de América;595
1/1/2020;Fluvial/Marítima;Europa;189
1/1/2020;Fluvial/Marítima;Resto del mundo;0
1/1/2020;Terrestre;Bolivia;38675
1/1/2020;Terrestre;Brasil;243132
1/1/2020;Terrestre;Chile;134181
1/1/2020;Terrestre;Paraguay;144290
1/1/2020;Terrestre;Uruguay;154643
1/1/2020;Terrestre;EE.UU. y Canadá;87
1/1/2020;Terrestre;Resto de América;403
1/1/2020;Terrestre;Europa;76
1/1/2020;Terrestre;Resto del mundo;24
1/2/2020;Aérea;Bolivia;3473
1/2/2020;Aérea;Brasil;110860
1/2/2020;Aérea;Chile;15286
1/2/2020;Aérea;Paraguay;4057
1/2/2020;Aérea;Uruguay;11398
1/2/2020;Aérea;EE.UU. y Canadá;60053
1/2/2020;Aérea;Resto de América;77073
1/2/2020;Aérea;Europa;49744
1/2/2020;Aérea;Resto del mundo;18095
1/2/2020;Fluvial/Marítima;Bolivia;4657
1/2/2020;Fluvial/Marítima;Brasil;14061
1/2/2020;Fluvial/Marítima;Chile;1100
1/2/2020;Fluvial/Marítima;Paraguay;11159
1/2/2020;Fluvial/Marítima;Uruguay;108726
1/2/2020;Fluvial/Marítima;EE.UU. y Canadá;193
1/2/2020;Fluvial/Marítima;Resto de América;531
1/2/2020;Fluvial/Marítima;Europa;194
1/2/2020;Fluvial/Marítima;Resto del mundo;0
1/2/2020;Terrestre;Bolivia;39094
1/2/2020;Terrestre;Brasil;259321
1/2/2020;Terrestre;Chile;146508
1/2/2020;Terrestre;Paraguay;110331
1/2/2020;Terrestre;Uruguay;158245
1/2/2020;Terrestre;EE.UU. y Canadá;188
1/2/2020;Terrestre;Resto de América;906
1/2/2020;Terrestre;Europa;274
1/2/2020;Terrestre;Resto del mundo;26
1/3/2020;Aérea;Bolivia;846
1/3/2020;Aérea;Brasil;45784
1/3/2020;Aérea;Chile;9085
1/3/2020;Aérea;Paraguay;2037
1/3/2020;Aérea;Uruguay;2181
1/3/2020;Aérea;EE.UU. y Canadá;20324
1/3/2020;Aérea;Resto de América;28994
1/3/2020;Aérea;Europa;21261
1/3/2020;Aérea;Resto del mundo;7170
1/3/2020;Fluvial/Marítima;Bolivia;6509
1/3/2020;Fluvial/Marítima;Brasil;6670
1/3/2020;Fluvial/Marítima;Chile;462
1/3/2020;Fluvial/Marítima;Paraguay;3841
1/3/2020;Fluvial/Marítima;Uruguay;17842
1/3/2020;Fluvial/Marítima;EE.UU. y Canadá;62
1/3/2020;Fluvial/Marítima;Resto de América;140
1/3/2020;Fluvial/Marítima;Europa;65
1/3/2020;Fluvial/Marítima;Resto del mundo;1
1/3/2020;Terrestre;Bolivia;14295
1/3/2020;Terrestre;Brasil;63133
1/3/2020;Terrestre;Chile;28642
1/3/2020;Terrestre;Paraguay;27312
1/3/2020;Terrestre;Uruguay;23716
1/3/2020;Terrestre;EE.UU. y Canadá;74
1/3/2020;Terrestre;Resto de América;471
1/3/2020;Terrestre;Europa;150
1/3/2020;Terrestre;Resto del mundo;12
1/4/2020;Aérea;Bolivia;0
1/4/2020;Aérea;Brasil;0
1/4/2020;Aérea;Chile;0
1/4/2020;Aérea;Paraguay;0
1/4/2020;Aérea;Uruguay;0
1/4/2020;Aérea;EE.UU. y Canadá;0
1/4/2020;Aérea;Resto de América;0
1/4/2020;Aérea;Europa;0
1/4/2020;Aérea;Resto del mundo;0
1/4/2020;Fluvial/Marítima;Bolivia;0
1/4/2020;Fluvial/Marítima;Brasil;0
1/4/2020;Fluvial/Marítima;Chile;0
1/4/2020;Fluvial/Marítima;Paraguay;0
1/4/2020;Fluvial/Marítima;Uruguay;0
1/4/2020;Fluvial/Marítima;EE.UU. y Canadá;0
1/4/2020;Fluvial/Marítima;Resto de América;0
1/4/2020;Fluvial/Marítima;Europa;0
1/4/2020;Fluvial/Marítima;Resto del mundo;0
1/4/2020;Terrestre;Bolivia;0
1/4/2020;Terrestre;Brasil;0
1/4/2020;Terrestre;Chile;0
1/4/2020;Terrestre;Paraguay;0
1/4/2020;Terrestre;Uruguay;0
1/4/2020;Terrestre;EE.UU. y Canadá;0
1/4/2020;Terrestre;Resto de América;0
1/4/2020;Terrestre;Europa;0
1/4/2020;Terrestre;Resto del mundo;0
1/5/2020;Aérea;Bolivia;0
1/5/2020;Aérea;Brasil;0
1/5/2020;Aérea;Chile;0
1/5/2020;Aérea;Paraguay;0
1/5/2020;Aérea;Uruguay;0
1/5/2020;Aérea;EE.UU. y Canadá;0
1/5/2020;Aérea;Resto de América;0
1/5/2020;Aérea;Europa;0
1/5/2020;Aérea;Resto del mundo;0
1/5/2020;Fluvial/Marítima;Bolivia;0
1/5/2020;Fluvial/Marítima;Brasil;0
1/5/2020;Fluvial/Marítima;Chile;0
1/5/2020;Fluvial/Marítima;Paraguay;0
1/5/2020;Fluvial/Marítima;Uruguay;0
1/5/2020;Fluvial/Marítima;EE.UU. y Canadá;0
1/5/2020;Fluvial/Marítima;Resto de América;0
1/5/2020;Fluvial/Marítima;Europa;0
1/5/2020;Fluvial/Marítima;Resto del mundo;0
1/5/2020;Terrestre;Bolivia;0
1/5/2020;Terrestre;Brasil;0
1/5/2020;Terrestre;Chile;0
1/5/2020;Terrestre;Paraguay;0
1/5/2020;Terrestre;Uruguay;0
1/5/2020;Terrestre;EE.UU. y Canadá;0
1/5/2020;Terrestre;Resto de América;0
1/5/2020;Terrestre;Europa;0
1/5/2020;Terrestre;Resto del mundo;0
1/6/2020;Aérea;Bolivia;0
1/6/2020;Aérea;Brasil;0
1/6/2020;Aérea;Chile;0
1/6/2020;Aérea;Paraguay;0
1/6/2020;Aérea;Uruguay;0
1/6/2020;Aérea;EE.UU. y Canadá;0
1/6/2020;Aérea;Resto de América;0
1/6/2020;Aérea;Europa;0
1/6/2020;Aérea;Resto del mundo;0
1/6/2020;Fluvial/Marítima;Bolivia;0
1/6/2020;Fluvial/Marítima;Brasil;0
1/6/2020;Fluvial/Marítima;Chile;0
1/6/2020;Fluvial/Marítima;Paraguay;0
1/6/2020;Fluvial/Marítima;Uruguay;0
1/6/2020;Fluvial/Marítima;EE.UU. y Canadá;0
1/6/2020;Fluvial/Marítima;Resto de América;0
1/6/2020;Fluvial/Marítima;Europa;0
1/6/2020;Fluvial/Marítima;Resto del mundo;0
1/6/2020;Terrestre;Bolivia;0
1/6/2020;Terrestre;Brasil;0
1/6/2020;Terrestre;Chile;0
1/6/2020;Terrestre;Paraguay;0
1/6/2020;Terrestre;Uruguay;0
1/6/2020;Terrestre;EE.UU. y Canadá;0
1/6/2020;Terrestre;Resto de América;0
1/6/2020;Terrestre;Europa;0
1/6/2020;Terrestre;Resto del mundo;0
1/7/2020;Aérea;Bolivia;196
1/7/2020;Aérea;Brasil;163
1/7/2020;Aérea;Chile;289
1/7/2020;Aérea;Paraguay;231
1/7/2020;Aérea;Uruguay;14
1/7/2020;Aérea;EE.UU. y Canadá;639
1/7/2020;Aérea;Resto de América;799
1/7/2020;Aérea;Europa;1234
1/7/2020;Aérea;Resto del mundo;0
1/7/2020;Fluvial/Marítima;Bolivia;0
1/7/2020;Fluvial/Marítima;Brasil;0
1/7/2020;Fluvial/Marítima;Chile;0
1/7/2020;Fluvial/Marítima;Paraguay;2
1/7/2020;Fluvial/Marítima;Uruguay;374
1/7/2020;Fluvial/Marítima;EE.UU. y Canadá;0
1/7/2020;Fluvial/Marítima;Resto de América;0
1/7/2020;Fluvial/Marítima;Europa;0
1/7/2020;Fluvial/Marítima;Resto del mundo;0
1/7/2020;Terrestre;Bolivia;49
1/7/2020;Terrestre;Brasil;442
1/7/2020;Terrestre;Chile;119
1/7/2020;Terrestre;Paraguay;468
1/7/2020;Terrestre;Uruguay;417
1/7/2020;Terrestre;EE.UU. y Canadá;0
1/7/2020;Terrestre;Resto de América;0
1/7/2020;Terrestre;Europa;0
1/7/2020;Terrestre;Resto del mundo;0
1/8/2020;Aérea;Bolivia;127
1/8/2020;Aérea;Brasil;388
1/8/2020;Aérea;Chile;144
1/8/2020;Aérea;Paraguay;104
1/8/2020;Aérea;Uruguay;59
1/8/2020;Aérea;EE.UU. y Canadá;827
1/8/2020;Aérea;Resto de América;333
1/8/2020;Aérea;Europa;1511
1/8/2020;Aérea;Resto del mundo;118
1/8/2020;Fluvial/Marítima;Bolivia;0
1/8/2020;Fluvial/Marítima;Brasil;0
1/8/2020;Fluvial/Marítima;Chile;0
1/8/2020;Fluvial/Marítima;Paraguay;7
1/8/2020;Fluvial/Marítima;Uruguay;584
1/8/2020;Fluvial/Marítima;EE.UU. y Canadá;0
1/8/2020;Fluvial/Marítima;Resto de América;0
1/8/2020;Fluvial/Marítima;Europa;0
1/8/2020;Fluvial/Marítima;Resto del mundo;0
1/8/2020;Terrestre;Bolivia;48
1/8/2020;Terrestre;Brasil;430
1/8/2020;Terrestre;Chile;205
1/8/2020;Terrestre;Paraguay;546
1/8/2020;Terrestre;Uruguay;525
1/8/2020;Terrestre;EE.UU. y Canadá;0
1/8/2020;Terrestre;Resto de América;0
1/8/2020;Terrestre;Europa;0
1/8/2020;Terrestre;Resto del mundo;0
1/9/2020;Aérea;Bolivia;583
1/9/2020;Aérea;Brasil;758
1/9/2020;Aérea;Chile;414
1/9/2020;Aérea;Paraguay;518
1/9/2020;Aérea;Uruguay;81
1/9/2020;Aérea;EE.UU. y Canadá;1853
1/9/2020;Aérea;Resto de América;970
1/9/2020;Aérea;Europa;3637
1/9/2020;Aérea;Resto del mundo;136
1/9/2020;Fluvial/Marítima;Bolivia;0
1/9/2020;Fluvial/Marítima;Brasil;0
1/9/2020;Fluvial/Marítima;Chile;0
1/9/2020;Fluvial/Marítima;Paraguay;0
1/9/2020;Fluvial/Marítima;Uruguay;779
1/9/2020;Fluvial/Marítima;EE.UU. y Canadá;0
1/9/2020;Fluvial/Marítima;Resto de América;0
1/9/2020;Fluvial/Marítima;Europa;0
1/9/2020;Fluvial/Marítima;Resto del mundo;0
1/9/2020;Terrestre;Bolivia;87
1/9/2020;Terrestre;Brasil;414
1/9/2020;Terrestre;Chile;106
1/9/2020;Terrestre;Paraguay;26
1/9/2020;Terrestre;Uruguay;678
1/9/2020;Terrestre;EE.UU. y Canadá;0
1/9/2020;Terrestre;Resto de América;0
1/9/2020;Terrestre;Europa;0
1/9/2020;Terrestre;Resto del mundo;0
1/10/2020;Aérea;Bolivia;1348
1/10/2020;Aérea;Brasil;1359
1/10/2020;Aérea;Chile;765
1/10/2020;Aérea;Paraguay;359
1/10/2020;Aérea;Uruguay;191
1/10/2020;Aérea;EE.UU. y Canadá;4756
1/10/2020;Aérea;Resto de América;1988
1/10/2020;Aérea;Europa;4293
1/10/2020;Aérea;Resto del mundo;56
1/10/2020;Fluvial/Marítima;Bolivia;0
1/10/2020;Fluvial/Marítima;Brasil;0
1/10/2020;Fluvial/Marítima;Chile;0
1/10/2020;Fluvial/Marítima;Paraguay;0
1/10/2020;Fluvial/Marítima;Uruguay;1302
1/10/2020;Fluvial/Marítima;EE.UU. y Canadá;0
1/10/2020;Fluvial/Marítima;Resto de América;0
1/10/2020;Fluvial/Marítima;Europa;0
1/10/2020;Fluvial/Marítima;Resto del mundo;0
1/10/2020;Terrestre;Bolivia;59
1/10/2020;Terrestre;Brasil;480
1/10/2020;Terrestre;Chile;341
1/10/2020;Terrestre;Paraguay;68
1/10/2020;Terrestre;Uruguay;1135
1/10/2020;Terrestre;EE.UU. y Canadá;0
1/10/2020;Terrestre;Resto de América;0
1/10/2020;Terrestre;Europa;0
1/10/2020;Terrestre;Resto del mundo;0
1/11/2020;Aérea;Bolivia;1810
1/11/2020;Aérea;Brasil;4029
1/11/2020;Aérea;Chile;2721
1/11/2020;Aérea;Paraguay;957
1/11/2020;Aérea;Uruguay;291
1/11/2020;Aérea;EE.UU. y Canadá;8956
1/11/2020;Aérea;Resto de América;4165
1/11/2020;Aérea;Europa;5633
1/11/2020;Aérea;Resto del mundo;60
1/11/2020;Fluvial/Marítima;Bolivia;0
1/11/2020;Fluvial/Marítima;Brasil;2
1/11/2020;Fluvial/Marítima;Chile;0
1/11/2020;Fluvial/Marítima;Paraguay;0
1/11/2020;Fluvial/Marítima;Uruguay;1697
1/11/2020;Fluvial/Marítima;EE.UU. y Canadá;0
1/11/2020;Fluvial/Marítima;Resto de América;0
1/11/2020;Fluvial/Marítima;Europa;0
1/11/2020;Fluvial/Marítima;Resto del mundo;0
1/11/2020;Terrestre;Bolivia;126
1/11/2020;Terrestre;Brasil;694
1/11/2020;Terrestre;Chile;602
1/11/2020;Terrestre;Paraguay;77
1/11/2020;Terrestre;Uruguay;1720
1/11/2020;Terrestre;EE.UU. y Canadá;0
1/11/2020;Terrestre;Resto de América;0
1/11/2020;Terrestre;Europa;0
1/11/2020;Terrestre;Resto del mundo;0
1/12/2020;Aérea;Bolivia;2927
1/12/2020;Aérea;Brasil;5361
1/12/2020;Aérea;Chile;6477
1/12/2020;Aérea;Paraguay;4497
1/12/2020;Aérea;Uruguay;248
1/12/2020;Aérea;EE.UU. y Canadá;12925
1/12/2020;Aérea;Resto de América;9149
1/12/2020;Aérea;Europa;11123
1/12/2020;Aérea;Resto del mundo;159
1/12/2020;Fluvial/Marítima;Bolivia;0
1/12/2020;Fluvial/Marítima;Brasil;0
1/12/2020;Fluvial/Marítima;Chile;0
1/12/2020;Fluvial/Marítima;Paraguay;1
1/12/2020;Fluvial/Marítima;Uruguay;2515
1/12/2020;Fluvial/Marítima;EE.UU. y Canadá;0
1/12/2020;Fluvial/Marítima;Resto de América;0
1/12/2020;Fluvial/Marítima;Europa;0
1/12/2020;Fluvial/Marítima;Resto del mundo;0
1/12/2020;Terrestre;Bolivia;126
1/12/2020;Terrestre;Brasil;995
1/12/2020;Terrestre;Chile;3091
1/12/2020;Terrestre;Paraguay;389
1/12/2020;Terrestre;Uruguay;2843
1/12/2020;Terrestre;EE.UU. y Canadá;0
1/12/2020;Terrestre;Resto de América;0
1/12/2020;Terrestre;Europa;0
1/12/2020;Terrestre;Resto del mundo;0
1/1/2021;Aérea;Bolivia;1481
1/1/2021;Aérea;Brasil;10859
1/1/2021;Aérea;Chile;5500
1/1/2021;Aérea;Paraguay;2297
1/1/2021;Aérea;Uruguay;186
1/1/2021;Aérea;EE.UU. y Canadá;15549
1/1/2021;Aérea;Resto de América;17529
1/1/2021;Aérea;Europa;4481
1/1/2021;Aérea;Resto del mundo;1420
1/1/2021;Fluvial/Marítima;Bolivia;0
1/1/2021;Fluvial/Marítima;Brasil;0
1/1/2021;Fluvial/Marítima;Chile;0
1/1/2021;Fluvial/Marítima;Paraguay;0
1/1/2021;Fluvial/Marítima;Uruguay;1732
1/1/2021;Fluvial/Marítima;EE.UU. y Canadá;0
1/1/2021;Fluvial/Marítima;Resto de América;0
1/1/2021;Fluvial/Marítima;Europa;0
1/1/2021;Fluvial/Marítima;Resto del mundo;0
1/1/2021;Terrestre;Bolivia;97
1/1/2021;Terrestre;Brasil;1020
1/1/2021;Terrestre;Chile;987
1/1/2021;Terrestre;Paraguay;73
1/1/2021;Terrestre;Uruguay;1278
1/1/2021;Terrestre;EE.UU. y Canadá;0
1/1/2021;Terrestre;Resto de América;0
1/1/2021;Terrestre;Europa;0
1/1/2021;Terrestre;Resto del mundo;0
1/2/2021;Aérea;Bolivia;2943
1/2/2021;Aérea;Brasil;7778
1/2/2021;Aérea;Chile;4916
1/2/2021;Aérea;Paraguay;2916
1/2/2021;Aérea;Uruguay;233
1/2/2021;Aérea;EE.UU. y Canadá;14672
1/2/2021;Aérea;Resto de América;19420
1/2/2021;Aérea;Europa;4239
1/2/2021;Aérea;Resto del mundo;649
1/2/2021;Fluvial/Marítima;Bolivia;0
1/2/2021;Fluvial/Marítima;Brasil;0
1/2/2021;Fluvial/Marítima;Chile;0
1/2/2021;Fluvial/Marítima;Paraguay;0
1/2/2021;Fluvial/Marítima;Uruguay;3178
1/2/2021;Fluvial/Marítima;EE.UU. y Canadá;0
1/2/2021;Fluvial/Marítima;Resto de América;0
1/2/2021;Fluvial/Marítima;Europa;0
1/2/2021;Fluvial/Marítima;Resto del mundo;0
1/2/2021;Terrestre;Bolivia;111
1/2/2021;Terrestre;Brasil;876
1/2/2021;Terrestre;Chile;864
1/2/2021;Terrestre;Paraguay;78
1/2/2021;Terrestre;Uruguay;1042
1/2/2021;Terrestre;EE.UU. y Canadá;0
1/2/2021;Terrestre;Resto de América;0
1/2/2021;Terrestre;Europa;0
1/2/2021;Terrestre;Resto del mundo;0
1/3/2021;Aérea;Bolivia;2656
1/3/2021;Aérea;Brasil;6951
1/3/2021;Aérea;Chile;3810
1/3/2021;Aérea;Paraguay;4724
1/3/2021;Aérea;Uruguay;270
1/3/2021;Aérea;EE.UU. y Canadá;10186
1/3/2021;Aérea;Resto de América;20166
1/3/2021;Aérea;Europa;3521
1/3/2021;Aérea;Resto del mundo;564
1/3/2021;Fluvial/Marítima;Bolivia;0
1/3/2021;Fluvial/Marítima;Brasil;8
1/3/2021;Fluvial/Marítima;Chile;0
1/3/2021;Fluvial/Marítima;Paraguay;0
1/3/2021;Fluvial/Marítima;Uruguay;4556
1/3/2021;Fluvial/Marítima;EE.UU. y Canadá;0
1/3/2021;Fluvial/Marítima;Resto de América;0
1/3/2021;Fluvial/Marítima;Europa;0
1/3/2021;Fluvial/Marítima;Resto del mundo;0
1/3/2021;Terrestre;Bolivia;165
1/3/2021;Terrestre;Brasil;732
1/3/2021;Terrestre;Chile;608
1/3/2021;Terrestre;Paraguay;247
1/3/2021;Terrestre;Uruguay;484
1/3/2021;Terrestre;EE.UU. y Canadá;0
1/3/2021;Terrestre;Resto de América;0
1/3/2021;Terrestre;Europa;0
1/3/2021;Terrestre;Resto del mundo;0
1/4/2021;Aérea;Bolivia;1641
1/4/2021;Aérea;Brasil;1375
1/4/2021;Aérea;Chile;1263
1/4/2021;Aérea;Paraguay;2070
1/4/2021;Aérea;Uruguay;269
1/4/2021;Aérea;EE.UU. y Canadá;11337
1/4/2021;Aérea;Resto de América;7141
1/4/2021;Aérea;Europa;3062
1/4/2021;Aérea;Resto del mundo;164
1/4/2021;Fluvial/Marítima;Bolivia;0
1/4/2021;Fluvial/Marítima;Brasil;3
1/4/2021;Fluvial/Marítima;Chile;0
1/4/2021;Fluvial/Marítima;Paraguay;0
1/4/2021;Fluvial/Marítima;Uruguay;2348
1/4/2021;Fluvial/Marítima;EE.UU. y Canadá;0
1/4/2021;Fluvial/Marítima;Resto de América;0
1/4/2021;Fluvial/Marítima;Europa;0
1/4/2021;Fluvial/Marítima;Resto del mundo;0
1/4/2021;Terrestre;Bolivia;166
1/4/2021;Terrestre;Brasil;15
1/4/2021;Terrestre;Chile;170
1/4/2021;Terrestre;Paraguay;19
1/4/2021;Terrestre;Uruguay;56
1/4/2021;Terrestre;EE.UU. y Canadá;0
1/4/2021;Terrestre;Resto de América;0
1/4/2021;Terrestre;Europa;0
1/4/2021;Terrestre;Resto del mundo;0
1/5/2021;Aérea;Bolivia;1350
1/5/2021;Aérea;Brasil;1303
1/5/2021;Aérea;Chile;1291
1/5/2021;Aérea;Paraguay;1555
1/5/2021;Aérea;Uruguay;321
1/5/2021;Aérea;EE.UU. y Canadá;14890
1/5/2021;Aérea;Resto de América;6263
1/5/2021;Aérea;Europa;2966
1/5/2021;Aérea;Resto del mundo;91
1/5/2021;Fluvial/Marítima;Bolivia;0
1/5/2021;Fluvial/Marítima;Brasil;0
1/5/2021;Fluvial/Marítima;Chile;0
1/5/2021;Fluvial/Marítima;Paraguay;0
1/5/2021;Fluvial/Marítima;Uruguay;2786
1/5/2021;Fluvial/Marítima;EE.UU. y Canadá;0
1/5/2021;Fluvial/Marítima;Resto de América;0
1/5/2021;Fluvial/Marítima;Europa;0
1/5/2021;Fluvial/Marítima;Resto del mundo;0
1/5/2021;Terrestre;Bolivia;157
1/5/2021;Terrestre;Brasil;8
1/5/2021;Terrestre;Chile;131
1/5/2021;Terrestre;Paraguay;15
1/5/2021;Terrestre;Uruguay;40
1/5/2021;Terrestre;EE.UU. y Canadá;0
1/5/2021;Terrestre;Resto de América;0
1/5/2021;Terrestre;Europa;0
1/5/2021;Terrestre;Resto del mundo;0
1/6/2021;Aérea;Bolivia;1767
1/6/2021;Aérea;Brasil;795
1/6/2021;Aérea;Chile;1079
1/6/2021;Aérea;Paraguay;1428
1/6/2021;Aérea;Uruguay;423
1/6/2021;Aérea;EE.UU. y Canadá;21161
1/6/2021;Aérea;Resto de América;5836
1/6/2021;Aérea;Europa;4626
1/6/2021;Aérea;Resto del mundo;97
1/6/2021;Fluvial/Marítima;Bolivia;0
1/6/2021;Fluvial/Marítima;Brasil;0
1/6/2021;Fluvial/Marítima;Chile;0
1/6/2021;Fluvial/Marítima;Paraguay;0
1/6/2021;Fluvial/Marítima;Uruguay;3698
1/6/2021;Fluvial/Marítima;EE.UU. y Canadá;0
1/6/2021;Fluvial/Marítima;Resto de América;0
1/6/2021;Fluvial/Marítima;Europa;0
1/6/2021;Fluvial/Marítima;Resto del mundo;0
1/6/2021;Terrestre;Bolivia;123
1/6/2021;Terrestre;Brasil;12
1/6/2021;Terrestre;Chile;69
