indice_tiempo;medio_de_transporte;pais_origen;viajes_de_turistas_no_residentes
1/5/2010;Fluvial/Marítima;Bolivia;2856
1/5/2010;Fluvial/Marítima;Brasil;5999
1/5/2010;Fluvial/Marítima;Chile;814
1/5/2010;Fluvial/Marítima;Paraguay;4104
1/5/2010;Fluvial/Marítima;Uruguay;37783
1/5/2010;Fluvial/Marítima;EE.UU. y Canadá;2913
1/5/2010;Fluvial/Marítima;Resto de América;3401
1/5/2010;Fluvial/Marítima;Europa;4464
1/5/2010;Fluvial/Marítima;Resto del mundo;956
1/5/2010;Terrestre;Bolivia;13366
1/5/2010;Terrestre;Brasil;23494
1/5/2010;Terrestre;Chile;49677
1/5/2010;Terrestre;Paraguay;41105
1/5/2010;Terrestre;Uruguay;28367
1/5/2010;Terrestre;EE.UU. y Canadá;2415
1/5/2010;Terrestre;Resto de América;7130
1/5/2010;Terrestre;Europa;11795
1/5/2010;Terrestre;Resto del mundo;4393
1/6/2010;Aérea;Bolivia;3023
1/6/2010;Aérea;Brasil;79350
1/6/2010;Aérea;Chile;21806
1/6/2010;Aérea;Paraguay;4508
1/6/2010;Aérea;Uruguay;7810
1/6/2010;Aérea;EE.UU. y Canadá;22677
1/6/2010;Aérea;Resto de América;25590
1/6/2010;Aérea;Europa;34434
1/6/2010;Aérea;Resto del mundo;9069
1/6/2010;Fluvial/Marítima;Bolivia;2733
1/6/2010;Fluvial/Marítima;Brasil;8652
1/6/2010;Fluvial/Marítima;Chile;567
1/6/2010;Fluvial/Marítima;Paraguay;5284
1/6/2010;Fluvial/Marítima;Uruguay;32907
1/6/2010;Fluvial/Marítima;EE.UU. y Canadá;2619
1/6/2010;Fluvial/Marítima;Resto de América;3333
1/6/2010;Fluvial/Marítima;Europa;3605
1/6/2010;Fluvial/Marítima;Resto del mundo;943
1/6/2010;Terrestre;Bolivia;13149
1/6/2010;Terrestre;Brasil;26524
1/6/2010;Terrestre;Chile;30383
1/6/2010;Terrestre;Paraguay;35347
1/6/2010;Terrestre;Uruguay;19933
1/6/2010;Terrestre;EE.UU. y Canadá;2049
1/6/2010;Terrestre;Resto de América;8700
1/6/2010;Terrestre;Europa;8593
1/6/2010;Terrestre;Resto del mundo;2868
1/7/2010;Aérea;Bolivia;3909
1/7/2010;Aérea;Brasil;122434
1/7/2010;Aérea;Chile;23925
1/7/2010;Aérea;Paraguay;5216
1/7/2010;Aérea;Uruguay;9524
1/7/2010;Aérea;EE.UU. y Canadá;25758
1/7/2010;Aérea;Resto de América;28119
1/7/2010;Aérea;Europa;35328
1/7/2010;Aérea;Resto del mundo;9754
1/7/2010;Fluvial/Marítima;Bolivia;3658
1/7/2010;Fluvial/Marítima;Brasil;13531
1/7/2010;Fluvial/Marítima;Chile;1193
1/7/2010;Fluvial/Marítima;Paraguay;5930
1/7/2010;Fluvial/Marítima;Uruguay;42867
1/7/2010;Fluvial/Marítima;EE.UU. y Canadá;2666
1/7/2010;Fluvial/Marítima;Resto de América;5179
1/7/2010;Fluvial/Marítima;Europa;4508
1/7/2010;Fluvial/Marítima;Resto del mundo;851
1/7/2010;Terrestre;Bolivia;19532
1/7/2010;Terrestre;Brasil;32766
1/7/2010;Terrestre;Chile;50277
1/7/2010;Terrestre;Paraguay;55237
1/7/2010;Terrestre;Uruguay;44551
1/7/2010;Terrestre;EE.UU. y Canadá;2256
1/7/2010;Terrestre;Resto de América;8972
1/7/2010;Terrestre;Europa;13301
1/7/2010;Terrestre;Resto del mundo;3056
1/8/2010;Aérea;Bolivia;3755
1/8/2010;Aérea;Brasil;101167
1/8/2010;Aérea;Chile;22009
1/8/2010;Aérea;Paraguay;4746
1/8/2010;Aérea;Uruguay;8014
1/8/2010;Aérea;EE.UU. y Canadá;23556
1/8/2010;Aérea;Resto de América;33640
1/8/2010;Aérea;Europa;42747
1/8/2010;Aérea;Resto del mundo;11404
1/8/2010;Fluvial/Marítima;Bolivia;2782
1/8/2010;Fluvial/Marítima;Brasil;8990
1/8/2010;Fluvial/Marítima;Chile;639
1/8/2010;Fluvial/Marítima;Paraguay;4994
1/8/2010;Fluvial/Marítima;Uruguay;33091
