indice_tiempo;medio_de_transporte;pais_origen;viajes_de_turistas_no_residentes
1/10/2013;Aérea;EE.UU. y Canadá;18087
1/10/2013;Aérea;Resto de América;41257
1/10/2013;Aérea;Europa;33893
1/10/2013;Aérea;Resto del mundo;11936
1/10/2013;Fluvial/Marítima;Bolivia;4339
1/10/2013;Fluvial/Marítima;Brasil;9445
1/10/2013;Fluvial/Marítima;Chile;1275
1/10/2013;Fluvial/Marítima;Paraguay;6395
1/10/2013;Fluvial/Marítima;Uruguay;35406
1/10/2013;Fluvial/Marítima;EE.UU. y Canadá;2604
1/10/2013;Fluvial/Marítima;Resto de América;7358
1/10/2013;Fluvial/Marítima;Europa;9151
1/10/2013;Fluvial/Marítima;Resto del mundo;1520
1/10/2013;Terrestre;Bolivia;20929
1/10/2013;Terrestre;Brasil;26548
1/10/2013;Terrestre;Chile;51419
1/10/2013;Terrestre;Paraguay;53117
1/10/2013;Terrestre;Uruguay;28384
1/10/2013;Terrestre;EE.UU. y Canadá;3119
1/10/2013;Terrestre;Resto de América;10356
1/10/2013;Terrestre;Europa;17708
1/10/2013;Terrestre;Resto del mundo;5516
1/11/2013;Aérea;Bolivia;4373
1/11/2013;Aérea;Brasil;60191
1/11/2013;Aérea;Chile;26364
1/11/2013;Aérea;Paraguay;5087
1/11/2013;Aérea;Uruguay;3666
1/11/2013;Aérea;EE.UU. y Canadá;24695
1/11/2013;Aérea;Resto de América;43988
1/11/2013;Aérea;Europa;52238
1/11/2013;Aérea;Resto del mundo;12821
1/11/2013;Fluvial/Marítima;Bolivia;4475
1/11/2013;Fluvial/Marítima;Brasil;9459
1/11/2013;Fluvial/Marítima;Chile;1069
1/11/2013;Fluvial/Marítima;Paraguay;6167
1/11/2013;Fluvial/Marítima;Uruguay;38210
1/11/2013;Fluvial/Marítima;EE.UU. y Canadá;4881
1/11/2013;Fluvial/Marítima;Resto de América;7398
1/11/2013;Fluvial/Marítima;Europa;10614
1/11/2013;Fluvial/Marítima;Resto del mundo;1923
1/11/2013;Terrestre;Bolivia;20119
1/11/2013;Terrestre;Brasil;26156
1/11/2013;Terrestre;Chile;76496
1/11/2013;Terrestre;Paraguay;53302
1/11/2013;Terrestre;Uruguay;34161
1/11/2013;Terrestre;EE.UU. y Canadá;4665
1/11/2013;Terrestre;Resto de América;13511
1/11/2013;Terrestre;Europa;31758
1/11/2013;Terrestre;Resto del mundo;6180
1/12/2013;Aérea;Bolivia;5758
1/12/2013;Aérea;Brasil;55572
1/12/2013;Aérea;Chile;21348
1/12/2013;Aérea;Paraguay;6281
1/12/2013;Aérea;Uruguay;4059
1/12/2013;Aérea;EE.UU. y Canadá;27526
1/12/2013;Aérea;Resto de América;53366
1/12/2013;Aérea;Europa;56846
1/12/2013;Aérea;Resto del mundo;15022
1/12/2013;Fluvial/Marítima;Bolivia;4318
1/12/2013;Fluvial/Marítima;Brasil;18492
1/12/2013;Fluvial/Marítima;Chile;1160
1/12/2013;Fluvial/Marítima;Paraguay;10403
1/12/2013;Fluvial/Marítima;Uruguay;33534
1/12/2013;Fluvial/Marítima;EE.UU. y Canadá;9188
1/12/2013;Fluvial/Marítima;Resto de América;8257
1/12/2013;Fluvial/Marítima;Europa;14444
1/12/2013;Fluvial/Marítima;Resto del mundo;3265
1/12/2013;Terrestre;Bolivia;40087
1/12/2013;Terrestre;Brasil;42178
1/12/2013;Terrestre;Chile;79345
1/12/2013;Terrestre;Paraguay;107549
1/12/2013;Terrestre;Uruguay;75290
1/12/2013;Terrestre;EE.UU. y Canadá;5215
1/12/2013;Terrestre;Resto de América;18259
1/12/2013;Terrestre;Europa;28855
1/12/2013;Terrestre;Resto del mundo;9818
1/1/2014;Aérea;Bolivia;6592
1/1/2014;Aérea;Brasil;64891
1/1/2014;Aérea;Chile;16402
1/1/2014;Aérea;Paraguay;4824
1/1/2014;Aérea;Uruguay;3330
1/1/2014;Aérea;EE.UU. y Canadá;33734
1/1/2014;Aérea;Resto de América;38934
1/1/2014;Aérea;Europa;69749
1/1/2014;Aérea;Resto del mundo;16471
1/1/2014;Fluvial/Marítima;Bolivia;4179
1/1/2014;Fluvial/Marítima;Brasil;36878
1/1/2014;Fluvial/Marítima;Chile;1745
1/1/2014;Fluvial/Marítima;Paraguay;8578
1/1/2014;Fluvial/Marítima;Uruguay;21098
1/1/2014;Fluvial/Marítima;EE.UU. y Canadá;9477
1/1/2014;Fluvial/Marítima;Resto de América;6229
1/1/2014;Fluvial/Marítima;Europa;15133
1/1/2014;Fluvial/Marítima;Resto del mundo;4783
1/1/2014;Terrestre;Bolivia;52247
1/1/2014;Terrestre;Brasil;43751
1/1/2014;Terrestre;Chile;121959
1/1/2014;Terrestre;Paraguay;74767
1/1/2014;Terrestre;Uruguay;69940
1/1/2014;Terrestre;EE.UU. y Canadá;6274
1/1/2014;Terrestre;Resto de América;15668
1/1/2014;Terrestre;Europa;31461
1/1/2014;Terrestre;Resto del mundo;13981
1/2/2014;Aérea;Bolivia;4909
1/2/2014;Aérea;Brasil;33445
1/2/2014;Aérea;Chile;21610
1/2/2014;Aérea;Paraguay;3974
1/2/2014;Aérea;Uruguay;3641
1/2/2014;Aérea;EE.UU. y Canadá;24578
1/2/2014;Aérea;Resto de América;26396
1/2/2014;Aérea;Europa;51582
1/2/2014;Aérea;Resto del mundo;14536
1/2/2014;Fluvial/Marítima;Bolivia;1417
1/2/2014;Fluvial/Marítima;Brasil;29567
1/2/2014;Fluvial/Marítima;Chile;3599
1/2/2014;Fluvial/Marítima;Paraguay;7029
1/2/2014;Fluvial/Marítima;Uruguay;24130
1/2/2014;Fluvial/Marítima;EE.UU. y Canadá;11112
1/2/2014;Fluvial/Marítima;Resto de América;3398
1/2/2014;Fluvial/Marítima;Europa;21143
1/2/2014;Fluvial/Marítima;Resto del mundo;4572
1/2/2014;Terrestre;Bolivia;37969
1/2/2014;Terrestre;Brasil;21295
1/2/2014;Terrestre;Chile;187449
1/2/2014;Terrestre;Paraguay;66569
1/2/2014;Terrestre;Uruguay;74929
1/2/2014;Terrestre;EE.UU. y Canadá;6251
1/2/2014;Terrestre;Resto de América;9920
1/2/2014;Terrestre;Europa;30542
1/2/2014;Terrestre;Resto del mundo;12359
1/3/2014;Aérea;Bolivia;4188
1/3/2014;Aérea;Brasil;56193
1/3/2014;Aérea;Chile;23069
1/3/2014;Aérea;Paraguay;3971
1/3/2014;Aérea;Uruguay;4725
1/3/2014;Aérea;EE.UU. y Canadá;30262
1/3/2014;Aérea;Resto de América;30692
1/3/2014;Aérea;Europa;54997
1/3/2014;Aérea;Resto del mundo;10948
1/3/2014;Fluvial/Marítima;Bolivia;3899
1/3/2014;Fluvial/Marítima;Brasil;22797
1/3/2014;Fluvial/Marítima;Chile;1535
1/3/2014;Fluvial/Marítima;Paraguay;6331
1/3/2014;Fluvial/Marítima;Uruguay;35214
1/3/2014;Fluvial/Marítima;EE.UU. y Canadá;11335
1/3/2014;Fluvial/Marítima;Resto de América;4567
1/3/2014;Fluvial/Marítima;Europa;13636
1/3/2014;Fluvial/Marítima;Resto del mundo;4039
1/3/2014;Terrestre;Bolivia;25347
1/3/2014;Terrestre;Brasil;30371
1/3/2014;Terrestre;Chile;80018
1/3/2014;Terrestre;Paraguay;48661
1/3/2014;Terrestre;Uruguay;84804
1/3/2014;Terrestre;EE.UU. y Canadá;5897
1/3/2014;Terrestre;Resto de América;9325
1/3/2014;Terrestre;Europa;26150
1/3/2014;Terrestre;Resto del mundo;10811
1/4/2014;Aérea;Bolivia;4213
1/4/2014;Aérea;Brasil;60596
1/4/2014;Aérea;Chile;21719
1/4/2014;Aérea;Paraguay;5336
1/4/2014;Aérea;Uruguay;5749
1/4/2014;Aérea;EE.UU. y Canadá;20785
1/4/2014;Aérea;Resto de América;33488
1/4/2014;Aérea;Europa;43865
1/4/2014;Aérea;Resto del mundo;10576
1/4/2014;Fluvial/Marítima;Bolivia;4979
1/4/2014;Fluvial/Marítima;Brasil;11323
1/4/2014;Fluvial/Marítima;Chile;971
1/4/2014;Fluvial/Marítima;Paraguay;8726
1/4/2014;Fluvial/Marítima;Uruguay;46781
1/4/2014;Fluvial/Marítima;EE.UU. y Canadá;2232
1/4/2014;Fluvial/Marítima;Resto de América;5304
1/4/2014;Fluvial/Marítima;Europa;7257
1/4/2014;Fluvial/Marítima;Resto del mundo;1398
1/4/2014;Terrestre;Bolivia;22645
1/4/2014;Terrestre;Brasil;29018
1/4/2014;Terrestre;Chile;63055
1/4/2014;Terrestre;Paraguay;51847
1/4/2014;Terrestre;Uruguay;86441
1/4/2014;Terrestre;EE.UU. y Canadá;3318
1/4/2014;Terrestre;Resto de América;11554
1/4/2014;Terrestre;Europa;18577
1/4/2014;Terrestre;Resto del mundo;6240
1/5/2014;Aérea;Bolivia;4580
1/5/2014;Aérea;Brasil;61649
1/5/2014;Aérea;Chile;25508
1/5/2014;Aérea;Paraguay;5311
1/5/2014;Aérea;Uruguay;4801
1/5/2014;Aérea;EE.UU. y Canadá;18270
1/5/2014;Aérea;Resto de América;32433
1/5/2014;Aérea;Europa;33926
1/5/2014;Aérea;Resto del mundo;10275
1/5/2014;Fluvial/Marítima;Bolivia;5378
1/5/2014;Fluvial/Marítima;Brasil;8498
1/5/2014;Fluvial/Marítima;Chile;970
1/5/2014;Fluvial/Marítima;Paraguay;6725
1/5/2014;Fluvial/Marítima;Uruguay;27945
1/5/2014;Fluvial/Marítima;EE.UU. y Canadá;1657
1/5/2014;Fluvial/Marítima;Resto de América;4834
1/5/2014;Fluvial/Marítima;Europa;4028
1/5/2014;Fluvial/Marítima;Resto del mundo;1192
1/5/2014;Terrestre;Bolivia;21241
1/5/2014;Terrestre;Brasil;23713
1/5/2014;Terrestre;Chile;42582
1/5/2014;Terrestre;Paraguay;42212
1/5/2014;Terrestre;Uruguay;49378
1/5/2014;Terrestre;EE.UU. y Canadá;1958
1/5/2014;Terrestre;Resto de América;8434
1/5/2014;Terrestre;Europa;11254
1/5/2014;Terrestre;Resto del mundo;4358
1/6/2014;Aérea;Bolivia;3469
1/6/2014;Aérea;Brasil;58450
1/6/2014;Aérea;Chile;20169
1/6/2014;Aérea;Paraguay;3974
1/6/2014;Aérea;Uruguay;4694
1/6/2014;Aérea;EE.UU. y Canadá;17800
1/6/2014;Aérea;Resto de América;33252
1/6/2014;Aérea;Europa;27633
1/6/2014;Aérea;Resto del mundo;9602
1/6/2014;Fluvial/Marítima;Bolivia;5035
1/6/2014;Fluvial/Marítima;Brasil;9039
1/6/2014;Fluvial/Marítima;Chile;529
1/6/2014;Fluvial/Marítima;Paraguay;4665
1/6/2014;Fluvial/Marítima;Uruguay;27872
1/6/2014;Fluvial/Marítima;EE.UU. y Canadá;2084
1/6/2014;Fluvial/Marítima;Resto de América;4476
1/6/2014;Fluvial/Marítima;Europa;3451
1/6/2014;Fluvial/Marítima;Resto del mundo;1083
1/6/2014;Terrestre;Bolivia;20202
1/6/2014;Terrestre;Brasil;26783
1/6/2014;Terrestre;Chile;36486
1/6/2014;Terrestre;Paraguay;38415
1/6/2014;Terrestre;Uruguay;35099
1/6/2014;Terrestre;EE.UU. y Canadá;2759
1/6/2014;Terrestre;Resto de América;13618
1/6/2014;Terrestre;Europa;10129
1/6/2014;Terrestre;Resto del mundo;5151
1/7/2014;Aérea;Bolivia;4882
1/7/2014;Aérea;Brasil;81486
1/7/2014;Aérea;Chile;24285
1/7/2014;Aérea;Paraguay;6231
1/7/2014;Aérea;Uruguay;5020
1/7/2014;Aérea;EE.UU. y Canadá;18944
1/7/2014;Aérea;Resto de América;34871
1/7/2014;Aérea;Europa;27346
1/7/2014;Aérea;Resto del mundo;10407
1/7/2014;Fluvial/Marítima;Bolivia;6821
1/7/2014;Fluvial/Marítima;Brasil;10772
1/7/2014;Fluvial/Marítima;Chile;1158
1/7/2014;Fluvial/Marítima;Paraguay;4752
1/7/2014;Fluvial/Marítima;Uruguay;42306
1/7/2014;Fluvial/Marítima;EE.UU. y Canadá;2126
1/7/2014;Fluvial/Marítima;Resto de América;4396
1/7/2014;Fluvial/Marítima;Europa;3950
1/7/2014;Fluvial/Marítima;Resto del mundo;971
1/7/2014;Terrestre;Bolivia;32286
1/7/2014;Terrestre;Brasil;28033
1/7/2014;Terrestre;Chile;54865
1/7/2014;Terrestre;Paraguay;62081
1/7/2014;Terrestre;Uruguay;59826
1/7/2014;Terrestre;EE.UU. y Canadá;2739
1/7/2014;Terrestre;Resto de América;10583
1/7/2014;Terrestre;Europa;12211
1/7/2014;Terrestre;Resto del mundo;4314
1/8/2014;Aérea;Bolivia;4746
1/8/2014;Aérea;Brasil;85118
1/8/2014;Aérea;Chile;27710
1/8/2014;Aérea;Paraguay;6467
1/8/2014;Aérea;Uruguay;6484
1/8/2014;Aérea;EE.UU. y Canadá;18709
1/8/2014;Aérea;Resto de América;36636
1/8/2014;Aérea;Europa;38426
1/8/2014;Aérea;Resto del mundo;10344
1/8/2014;Fluvial/Marítima;Bolivia;5278
1/8/2014;Fluvial/Marítima;Brasil;10115
1/8/2014;Fluvial/Marítima;Chile;656
1/8/2014;Fluvial/Marítima;Paraguay;5310
1/8/2014;Fluvial/Marítima;Uruguay;33671
1/8/2014;Fluvial/Marítima;EE.UU. y Canadá;1451
1/8/2014;Fluvial/Marítima;Resto de América;4473
1/8/2014;Fluvial/Marítima;Europa;4271
1/8/2014;Fluvial/Marítima;Resto del mundo;845
1/8/2014;Terrestre;Bolivia;23274
1/8/2014;Terrestre;Brasil;25129
1/8/2014;Terrestre;Chile;40317
1/8/2014;Terrestre;Paraguay;55417
1/8/2014;Terrestre;Uruguay;44447
1/8/2014;Terrestre;EE.UU. y Canadá;2007
1/8/2014;Terrestre;Resto de América;9178
1/8/2014;Terrestre;Europa;14722
1/8/2014;Terrestre;Resto del mundo;3736
1/9/2014;Aérea;Bolivia;4985
1/9/2014;Aérea;Brasil;69467
1/9/2014;Aérea;Chile;30176
1/9/2014;Aérea;Paraguay;5343
1/9/2014;Aérea;Uruguay;7138
1/9/2014;Aérea;EE.UU. y Canadá;14511
1/9/2014;Aérea;Resto de América;34835
1/9/2014;Aérea;Europa;32520
1/9/2014;Aérea;Resto del mundo;10877
1/9/2014;Fluvial/Marítima;Bolivia;5021
1/9/2014;Fluvial/Marítima;Brasil;9622
1/9/2014;Fluvial/Marítima;Chile;955
1/9/2014;Fluvial/Marítima;Paraguay;5478
1/9/2014;Fluvial/Marítima;Uruguay;36138
1/9/2014;Fluvial/Marítima;EE.UU. y Canadá;1399
1/9/2014;Fluvial/Marítima;Resto de América;5162
1/9/2014;Fluvial/Marítima;Europa;4297
1/9/2014;Fluvial/Marítima;Resto del mundo;976
1/9/2014;Terrestre;Bolivia;22031
1/9/2014;Terrestre;Brasil;28829
1/9/2014;Terrestre;Chile;60889
1/9/2014;Terrestre;Paraguay;53986
1/9/2014;Terrestre;Uruguay;50206
1/9/2014;Terrestre;EE.UU. y Canadá;1980
1/9/2014;Terrestre;Resto de América;9908
1/9/2014;Terrestre;Europa;11855
1/9/2014;Terrestre;Resto del mundo;4304
1/10/2014;Aérea;Bolivia;5147
1/10/2014;Aérea;Brasil;68096
1/10/2014;Aérea;Chile;26969
1/10/2014;Aérea;Paraguay;5527
1/10/2014;Aérea;Uruguay;6143
1/10/2014;Aérea;EE.UU. y Canadá;18323
1/10/2014;Aérea;Resto de América;44358
1/10/2014;Aérea;Europa;38003
1/10/2014;Aérea;Resto del mundo;12877
1/10/2014;Fluvial/Marítima;Bolivia;5805
1/10/2014;Fluvial/Marítima;Brasil;9304
1/10/2014;Fluvial/Marítima;Chile;863
1/10/2014;Fluvial/Marítima;Paraguay;6359
1/10/2014;Fluvial/Marítima;Uruguay;38174
1/10/2014;Fluvial/Marítima;EE.UU. y Canadá;2355
1/10/2014;Fluvial/Marítima;Resto de América;6529
1/10/2014;Fluvial/Marítima;Europa;6696
1/10/2014;Fluvial/Marítima;Resto del mundo;1299
1/10/2014;Terrestre;Bolivia;25249
1/10/2014;Terrestre;Brasil;28576
1/10/2014;Terrestre;Chile;59700
1/10/2014;Terrestre;Paraguay;58871
1/10/2014;Terrestre;Uruguay;44699
1/10/2014;Terrestre;EE.UU. y Canadá;3357
1/10/2014;Terrestre;Resto de América;11141
1/10/2014;Terrestre;Europa;20154
1/10/2014;Terrestre;Resto del mundo;6203
1/11/2014;Aérea;Bolivia;5189
1/11/2014;Aérea;Brasil;62809
1/11/2014;Aérea;Chile;27513
1/11/2014;Aérea;Paraguay;5580
1/11/2014;Aérea;Uruguay;4817
1/11/2014;Aérea;EE.UU. y Canadá;24840
1/11/2014;Aérea;Resto de América;41916
1/11/2014;Aérea;Europa;53502
1/11/2014;Aérea;Resto del mundo;11940
1/11/2014;Fluvial/Marítima;Bolivia;4465
1/11/2014;Fluvial/Marítima;Brasil;10125
1/11/2014;Fluvial/Marítima;Chile;871
1/11/2014;Fluvial/Marítima;Paraguay;5445
1/11/2014;Fluvial/Marítima;Uruguay;38951
1/11/2014;Fluvial/Marítima;EE.UU. y Canadá;3258
1/11/2014;Fluvial/Marítima;Resto de América;5771
1/11/2014;Fluvial/Marítima;Europa;9771
1/11/2014;Fluvial/Marítima;Resto del mundo;1439
1/11/2014;Terrestre;Bolivia;21601
1/11/2014;Terrestre;Brasil;27119
1/11/2014;Terrestre;Chile;77405
1/11/2014;Terrestre;Paraguay;56511
1/11/2014;Terrestre;Uruguay;46108
1/11/2014;Terrestre;EE.UU. y Canadá;5141
1/11/2014;Terrestre;Resto de América;13777
1/11/2014;Terrestre;Europa;36621
1/11/2014;Terrestre;Resto del mundo;6503
1/12/2014;Aérea;Bolivia;6765
1/12/2014;Aérea;Brasil;56955
1/12/2014;Aérea;Chile;20929
1/12/2014;Aérea;Paraguay;6048
1/12/2014;Aérea;Uruguay;3845
1/12/2014;Aérea;EE.UU. y Canadá;24795
1/12/2014;Aérea;Resto de América;54657
1/12/2014;Aérea;Europa;57502
1/12/2014;Aérea;Resto del mundo;15138
1/12/2014;Fluvial/Marítima;Bolivia;5350
1/12/2014;Fluvial/Marítima;Brasil;28924
1/12/2014;Fluvial/Marítima;Chile;1104
1/12/2014;Fluvial/Marítima;Paraguay;9781
1/12/2014;Fluvial/Marítima;Uruguay;28047
1/12/2014;Fluvial/Marítima;EE.UU. y Canadá;6183
1/12/2014;Fluvial/Marítima;Resto de América;7842
1/12/2014;Fluvial/Marítima;Europa;11875
1/12/2014;Fluvial/Marítima;Resto del mundo;2436
1/12/2014;Terrestre;Bolivia;42722
1/12/2014;Terrestre;Brasil;38371
1/12/2014;Terrestre;Chile;91723
1/12/2014;Terrestre;Paraguay;118677
1/12/2014;Terrestre;Uruguay;36382
1/12/2014;Terrestre;EE.UU. y Canadá;5944
1/12/2014;Terrestre;Resto de América;18645
1/12/2014;Terrestre;Europa;32926
1/12/2014;Terrestre;Resto del mundo;10601
1/1/2015;Aérea;Bolivia;7878
1/1/2015;Aérea;Brasil;68315
1/1/2015;Aérea;Chile;18641
1/1/2015;Aérea;Paraguay;5399
1/1/2015;Aérea;Uruguay;2785
1/1/2015;Aérea;EE.UU. y Canadá;35289
1/1/2015;Aérea;Resto de América;39669
1/1/2015;Aérea;Europa;72538
1/1/2015;Aérea;Resto del mundo;16872
1/1/2015;Fluvial/Marítima;Bolivia;4348
1/1/2015;Fluvial/Marítima;Brasil;43152
1/1/2015;Fluvial/Marítima;Chile;2276
1/1/2015;Fluvial/Marítima;Paraguay;9294
1/1/2015;Fluvial/Marítima;Uruguay;23236
1/1/2015;Fluvial/Marítima;EE.UU. y Canadá;9903
1/1/2015;Fluvial/Marítima;Resto de América;6306
1/1/2015;Fluvial/Marítima;Europa;16738
1/1/2015;Fluvial/Marítima;Resto del mundo;4814
1/1/2015;Terrestre;Bolivia;57084
1/1/2015;Terrestre;Brasil;53878
1/1/2015;Terrestre;Chile;142761
1/1/2015;Terrestre;Paraguay;83446
1/1/2015;Terrestre;Uruguay;42803
1/1/2015;Terrestre;EE.UU. y Canadá;7331
1/1/2015;Terrestre;Resto de América;16394
1/1/2015;Terrestre;Europa;35159
1/1/2015;Terrestre;Resto del mundo;15422
1/2/2015;Aérea;Bolivia;5848
1/2/2015;Aérea;Brasil;43280
1/2/2015;Aérea;Chile;24826
1/2/2015;Aérea;Paraguay;4872
1/2/2015;Aérea;Uruguay;3241
1/2/2015;Aérea;EE.UU. y Canadá;25067
1/2/2015;Aérea;Resto de América;26591
1/2/2015;Aérea;Europa;52659
1/2/2015;Aérea;Resto del mundo;13790
1/2/2015;Fluvial/Marítima;Bolivia;3127
1/2/2015;Fluvial/Marítima;Brasil;26783
1/2/2015;Fluvial/Marítima;Chile;3894
1/2/2015;Fluvial/Marítima;Paraguay;7890
1/2/2015;Fluvial/Marítima;Uruguay;25012
1/2/2015;Fluvial/Marítima;EE.UU. y Canadá;11593
1/2/2015;Fluvial/Marítima;Resto de América;4057
1/2/2015;Fluvial/Marítima;Europa;24585
1/2/2015;Fluvial/Marítima;Resto del mundo;4827
1/2/2015;Terrestre;Bolivia;38370
1/2/2015;Terrestre;Brasil;31434
1/2/2015;Terrestre;Chile;213862
1/2/2015;Terrestre;Paraguay;66131
1/2/2015;Terrestre;Uruguay;41760
1/2/2015;Terrestre;EE.UU. y Canadá;6603
1/2/2015;Terrestre;Resto de América;9973
1/2/2015;Terrestre;Europa;31871
1/2/2015;Terrestre;Resto del mundo;13381
1/3/2015;Aérea;Bolivia;5040
1/3/2015;Aérea;Brasil;39739
1/3/2015;Aérea;Chile;20927
1/3/2015;Aérea;Paraguay;4656
1/3/2015;Aérea;Uruguay;4592
1/3/2015;Aérea;EE.UU. y Canadá;29586
1/3/2015;Aérea;Resto de América;29453
1/3/2015;Aérea;Europa;55587
1/3/2015;Aérea;Resto del mundo;14796
1/3/2015;Fluvial/Marítima;Bolivia;542
1/3/2015;Fluvial/Marítima;Brasil;23773
1/3/2015;Fluvial/Marítima;Chile;1328
1/3/2015;Fluvial/Marítima;Paraguay;7353
1/3/2015;Fluvial/Marítima;Uruguay;29021
1/3/2015;Fluvial/Marítima;EE.UU. y Canadá;9248
1/3/2015;Fluvial/Marítima;Resto de América;4691
1/3/2015;Fluvial/Marítima;Europa;13632
1/3/2015;Fluvial/Marítima;Resto del mundo;3738
1/3/2015;Terrestre;Bolivia;26278
1/3/2015;Terrestre;Brasil;24367
1/3/2015;Terrestre;Chile;82592
1/3/2015;Terrestre;Paraguay;57718
1/3/2015;Terrestre;Uruguay;33825
1/3/2015;Terrestre;EE.UU. y Canadá;6643
1/3/2015;Terrestre;Resto de América;9012
1/3/2015;Terrestre;Europa;28672
1/3/2015;Terrestre;Resto del mundo;9903
1/4/2015;Aérea;Bolivia;5152
1/4/2015;Aérea;Brasil;49667
1/4/2015;Aérea;Chile;20842
1/4/2015;Aérea;Paraguay;5298
1/4/2015;Aérea;Uruguay;5351
1/4/2015;Aérea;EE.UU. y Canadá;21981
1/4/2015;Aérea;Resto de América;31328
1/4/2015;Aérea;Europa;47400
1/4/2015;Aérea;Resto del mundo;11296
1/4/2015;Fluvial/Marítima;Bolivia;3860
1/4/2015;Fluvial/Marítima;Brasil;9182
1/4/2015;Fluvial/Marítima;Chile;779
1/4/2015;Fluvial/Marítima;Paraguay;6522
1/4/2015;Fluvial/Marítima;Uruguay;42292
1/4/2015;Fluvial/Marítima;EE.UU. y Canadá;2770
1/4/2015;Fluvial/Marítima;Resto de América;4770
1/4/2015;Fluvial/Marítima;Europa;6394
1/4/2015;Fluvial/Marítima;Resto del mundo;1228
1/4/2015;Terrestre;Bolivia;21963
1/4/2015;Terrestre;Brasil;28426
1/4/2015;Terrestre;Chile;64907
1/4/2015;Terrestre;Paraguay;46698
1/4/2015;Terrestre;Uruguay;52412
1/4/2015;Terrestre;EE.UU. y Canadá;3461
1/4/2015;Terrestre;Resto de América;10252
1/4/2015;Terrestre;Europa;18711
1/4/2015;Terrestre;Resto del mundo;6116
1/5/2015;Aérea;Bolivia;5175
1/5/2015;Aérea;Brasil;48815
1/5/2015;Aérea;Chile;23958
1/5/2015;Aérea;Paraguay;5822
1/5/2015;Aérea;Uruguay;4387
1/5/2015;Aérea;EE.UU. y Canadá;18721
1/5/2015;Aérea;Resto de América;29674
1/5/2015;Aérea;Europa;32899
1/5/2015;Aérea;Resto del mundo;10333
1/5/2015;Fluvial/Marítima;Bolivia;6843
1/5/2015;Fluvial/Marítima;Brasil;8774
1/5/2015;Fluvial/Marítima;Chile;980
1/5/2015;Fluvial/Marítima;Paraguay;6216
1/5/2015;Fluvial/Marítima;Uruguay;34140
1/5/2015;Fluvial/Marítima;EE.UU. y Canadá;1767
1/5/2015;Fluvial/Marítima;Resto de América;4166
1/5/2015;Fluvial/Marítima;Europa;4352
1/5/2015;Fluvial/Marítima;Resto del mundo;1030
1/5/2015;Terrestre;Bolivia;22216
1/5/2015;Terrestre;Brasil;25699
1/5/2015;Terrestre;Chile;54438
1/5/2015;Terrestre;Paraguay;41727
1/5/2015;Terrestre;Uruguay;28882
1/5/2015;Terrestre;EE.UU. y Canadá;2324
1/5/2015;Terrestre;Resto de América;8047
1/5/2015;Terrestre;Europa;11810
1/5/2015;Terrestre;Resto del mundo;4276
1/6/2015;Aérea;Bolivia;4534
1/6/2015;Aérea;Brasil;54063
1/6/2015;Aérea;Chile;20329
1/6/2015;Aérea;Paraguay;4804
1/6/2015;Aérea;Uruguay;4867
1/6/2015;Aérea;EE.UU. y Canadá;18942
1/6/2015;Aérea;Resto de América;29000
1/6/2015;Aérea;Europa;28583
1/6/2015;Aérea;Resto del mundo;10320
1/6/2015;Fluvial/Marítima;Bolivia;6751
1/6/2015;Fluvial/Marítima;Brasil;8697
1/6/2015;Fluvial/Marítima;Chile;503
1/6/2015;Fluvial/Marítima;Paraguay;5990
1/6/2015;Fluvial/Marítima;Uruguay;28446
1/6/2015;Fluvial/Marítima;EE.UU. y Canadá;2029
1/6/2015;Fluvial/Marítima;Resto de América;3796
1/6/2015;Fluvial/Marítima;Europa;2862
1/6/2015;Fluvial/Marítima;Resto del mundo;807
1/6/2015;Terrestre;Bolivia;20811
1/6/2015;Terrestre;Brasil;25766
1/6/2015;Terrestre;Chile;35864
1/6/2015;Terrestre;Paraguay;38350
1/6/2015;Terrestre;Uruguay;23956
1/6/2015;Terrestre;EE.UU. y Canadá;1917
1/6/2015;Terrestre;Resto de América;10215
1/6/2015;Terrestre;Europa;7243
1/6/2015;Terrestre;Resto del mundo;3439
1/7/2015;Aérea;Bolivia;5632
1/7/2015;Aérea;Brasil;73774
1/7/2015;Aérea;Chile;25923
1/7/2015;Aérea;Paraguay;5683
1/7/2015;Aérea;Uruguay;5533
1/7/2015;Aérea;EE.UU. y Canadá;18875
1/7/2015;Aérea;Resto de América;30773
1/7/2015;Aérea;Europa;29307
1/7/2015;Aérea;Resto del mundo;9927
1/7/2015;Fluvial/Marítima;Bolivia;8928
1/7/2015;Fluvial/Marítima;Brasil;11904
1/7/2015;Fluvial/Marítima;Chile;1166
1/7/2015;Fluvial/Marítima;Paraguay;7196
1/7/2015;Fluvial/Marítima;Uruguay;39174
1/7/2015;Fluvial/Marítima;EE.UU. y Canadá;1903
1/7/2015;Fluvial/Marítima;Resto de América;4565
1/7/2015;Fluvial/Marítima;Europa;4033
1/7/2015;Fluvial/Marítima;Resto del mundo;838
1/7/2015;Terrestre;Bolivia;33390
1/7/2015;Terrestre;Brasil;30818
1/7/2015;Terrestre;Chile;54973
1/7/2015;Terrestre;Paraguay;64886
1/7/2015;Terrestre;Uruguay;44982
1/7/2015;Terrestre;EE.UU. y Canadá;2055
1/7/2015;Terrestre;Resto de América;9493
1/7/2015;Terrestre;Europa;11002
1/7/2015;Terrestre;Resto del mundo;3331
1/8/2015;Aérea;Bolivia;5087
